id,tested_positive
0,15.8572645
1,1.5044117
2,1.355762
3,8.842541
4,3.7418091
5,25.80753
6,24.507132
7,4.5892816
8,11.013718
9,8.049375
10,12.134227
11,22.927998
12,19.401495
13,11.856174
14,16.303074
15,15.744084
16,22.690062
17,7.299788
18,17.801924
19,4.025068
20,4.114588
21,22.087124
22,14.615963
23,10.228716
24,8.380771
25,23.234173
26,20.856995
27,21.652905
28,6.37417
29,16.688816
30,6.627552
31,7.711575
32,23.086943
33,8.420518
34,21.128784
35,25.98851
36,8.100224
37,8.025889
38,14.779786
39,7.0428686
40,14.629826
41,5.5864167
42,5.321378
43,15.582074
44,7.4638715
45,15.820787
46,10.061582
47,3.3761542
48,5.550601
49,12.952722
50,13.984079
51,12.948978
52,12.243281
53,7.6214585
54,10.154411
55,28.585918
56,8.727479
57,13.663914
58,27.880285
59,7.589018
60,19.856985
61,21.565746
62,22.957197
63,18.52849
64,13.742076
65,4.554297
66,13.029013
67,21.75784
68,29.062296
69,12.201863
70,15.352555
71,16.336369
72,8.540282
73,22.42584
74,10.308804
75,3.0995102
76,16.264868
77,9.722793
78,7.4733057
79,4.020775
80,14.741833
81,9.939913
82,10.998583
83,12.266623
84,9.291702
85,15.738439
86,22.59506
87,8.251152
88,6.342461
89,13.0347185
90,25.277723
91,29.875534
92,13.992037
93,4.474298
94,9.588001
95,10.104816
96,8.77931
97,21.308699
98,10.963081
99,10.193102
100,5.2100453
101,6.748751
102,11.846295
103,11.618821
104,2.5347133
105,27.93002
106,24.409973
107,9.082019
108,16.945145
109,9.3559265
110,12.745678
111,5.063376
112,17.972008
113,21.388983
114,13.655624
115,9.641171
116,7.6206155
117,28.02006
118,17.324533
119,9.747689
120,11.168328
121,20.054516
122,7.490735
123,17.400942
124,29.57461
125,11.651479
126,8.799232
127,6.833683
128,3.7355318
129,9.256556
130,16.580997
131,12.593912
132,9.93205
133,15.048511
134,21.713242
135,18.424627
136,19.927036
137,4.341615
138,14.372224
139,29.955614
140,22.612413
141,17.331593
142,25.201452
143,23.595068
144,9.71485
145,32.380253
146,5.1300497
147,10.531959
148,19.02245
149,15.330073
150,20.27811
151,8.4008875
152,20.246471
153,3.1502368
154,30.454462
155,14.232888
156,16.287746
157,24.66543
158,17.462404
159,14.956519
160,16.620346
161,22.262228
162,12.631766
163,13.255259
164,15.324276
165,23.96273
166,25.5478
167,14.181573
168,25.788006
169,14.357249
170,11.357809
171,11.359893
172,24.974424
173,34.3455
174,19.299221
175,5.0957823
176,7.5686135
177,30.049332
178,26.643087
179,22.712694
180,16.104942
181,21.724617
182,24.891254
183,9.150836
184,18.029356
185,8.693833
186,18.904572
187,5.7507405
188,11.686984
189,24.384783
190,4.9636264
191,22.524658
192,23.677746
193,8.085445
194,13.171821
195,27.809227
196,8.649441
197,26.251247
198,10.732928
199,18.752281
200,22.674969
201,15.861687
202,22.545513
203,11.113841
204,25.047775
205,20.1336
206,15.28419
207,25.594315
208,16.063774
209,7.9910197
210,8.35573
211,15.260646
212,29.42609
213,6.7733097
214,11.370663
215,13.820269
216,8.089583
217,13.240235
218,9.605321
219,10.206069
220,15.170585
221,9.33112
222,14.162191
223,12.865144
224,22.169136
225,20.279247
226,13.888555
227,8.196039
228,10.067466
229,31.425655
230,15.645789
231,8.169841
232,13.7303095
233,20.224445
234,10.692413
235,30.99183
236,18.027975
237,19.004784
238,18.36227
239,29.918617
240,10.396662
241,26.0819
242,25.642815
243,27.443193
244,12.213972
245,10.19582
246,15.527083
247,26.095072
248,19.515345
249,11.315358
250,22.146875
251,16.05905
252,17.639666
253,10.427331
254,12.609606
255,10.187836
256,7.376243
257,18.834648
258,14.273203
259,5.1700916
260,13.96368
261,3.2498786
262,6.810304
263,20.330181
264,14.108133
265,7.3688736
266,23.706112
267,23.446117
268,8.259389
269,10.797889
270,13.175534
271,8.495839
272,20.282728
273,10.427581
274,8.8434305
275,15.794172
276,17.117477
277,8.610482
278,13.540325
279,15.8496065
280,19.598476
281,18.901674
282,17.134619
283,22.674238
284,15.931825
285,22.121902
286,21.017763
287,27.186186
288,6.723902
289,19.549934
290,12.238536
291,17.67118
292,3.297174
293,4.2988815
294,23.055883
295,14.447999
296,6.4801936
297,21.362314
298,10.350729
299,10.24006
300,12.3460455
301,22.009556
302,9.977753
303,18.95595
304,11.842586
305,16.793844
306,20.508432
307,29.574362
308,12.561285
309,12.302653
310,10.744284
311,23.681633
312,8.819504
313,22.333736
314,18.528433
315,16.214111
316,26.589771
317,18.914991
318,17.572992
319,15.042484
320,3.7135816
